model_name,context_size,duration_seconds,tokens_per_second,success,error_message,response_text,response_tokens,response_length,time_to_first_token,total_generation_time,tokens_per_second_generation,streaming_chunks
gemini-2.5-flash-lite,100,0.2571570873260498,388.8673691237211,True,,,,,,,,
gemini-2.5-flash-lite,100,0.3226039409637451,309.9776143504651,True,,,,,,,,
gemini-2.5-flash-lite,1000,0.2981030941009521,3357.8987263413405,True,,,,,,,,
gemini-2.5-flash-lite,1000,0.3860809803009033,2590.1301825866203,True,,,,,,,,
gemini-2.5-flash-lite,1000,0.2170541286468505,4607.145720904535,True,,,,,,,,
gemini-2.5-flash-lite,10000,0.5205719470977783,19209.640580424348,True,,,,,,,,
gemini-2.5-flash-lite,10000,0.4011077880859375,24930.95446418382,True,,,,,,,,
gemini-2.5-flash-lite,10000,0.4304032325744629,23234.02624135711,True,,,,,,,,
gemini-2.5-flash-lite,100000,1.015336990356445,98489.46797938868,True,,,,,,,,
gemini-2.5-flash-lite,100000,1.2973549365997314,77079.90865020515,True,,,,,,,,
gemini-2.5-flash-lite,100000,1.224740982055664,81649.91738265767,True,,,,,,,,
gemini-2.5-flash-lite,1000000,14.553822994232178,68710.46874737379,True,,,,,,,,
gemini-2.5-flash-lite,1000000,13.52851700782776,73917.93198185643,True,,,,,,,,
claude-haiku-3.5,10,0.6435961723327637,15.537693401367248,True,,,,,,,,
claude-haiku-3.5,10,0.6120829582214355,16.337654668670357,True,,,,,,,,
claude-haiku-3.5,10,0.5853910446166992,17.082598191347074,True,,,,,,,,
claude-haiku-3.5,100,1.7586240768432615,56.86263557786634,True,,,,,,,,
claude-haiku-3.5,100,1.6604478359222412,60.224716390718946,True,,,,,,,,
claude-haiku-3.5,100,0.570958137512207,175.1441890919052,True,,,,,,,,
claude-haiku-3.5,1000,0.6971211433410645,1434.4709087538793,True,,,,,,,,
claude-haiku-3.5,1000,0.7245697975158691,1380.129289722566,True,,,,,,,,
claude-haiku-3.5,1000,0.7441492080688477,1343.8165211451535,True,,,,,,,,
claude-haiku-3.5,10000,2.166840076446533,4615.015251332855,True,,,,,,,,
claude-haiku-3.5,10000,2.1161420345306396,4725.580720397154,True,,,,,,,,
claude-haiku-3.5,10000,2.0306501388549805,4924.531217198589,True,,,,,,,,
claude-haiku-3.5,100000,17.38412117958069,5752.375916331022,True,,,,,,,,
claude-haiku-3.5,100000,16.268423080444336,6146.938735580799,True,,,,,,,,
claude-haiku-3.5,100000,16.82614517211914,5943.131892484776,True,,,,,,,,
gpt-5,1,0.8543591499328613,1.1704679467394756,True,,,,,,,,
gpt-5,1,0.495805025100708,2.0169218732643537,True,,,,,,,,
gpt-5,1,0.4553840160369873,2.195948836111054,True,,,,,,,,
gpt-5,10,0.5776569843292236,17.311311507142978,True,,,,,,,,
gpt-5,10,0.595203161239624,16.800986035042378,True,,,,,,,,
gpt-5,10,1.4840202331542969,6.738452600976282,True,,,,,,,,
gpt-5,100,0.4141147136688232,241.47898323644745,True,,,,,,,,
gpt-5,100,0.4712202548980713,212.2149864326838,True,,,,,,,,
gpt-5,100,0.4291069507598877,233.04213512019356,True,,,,,,,,
gpt-5,1000,0.4837889671325683,2064.9499427841497,True,,,,,,,,
gpt-5,1000,0.6612269878387451,1512.3399655367243,True,,,,,,,,
gpt-5,1000,0.5149791240692139,1941.8262862740796,True,,,,,,,,
gpt-5,10000,1.5800580978393557,6328.881206124295,True,,,,,,,,
gpt-5,10000,0.9915611743927002,10085.106454601437,True,,,,,,,,
gpt-5,10000,1.1755130290985107,8506.924000382114,True,,,,,,,,
gpt-5,100000,5.687543153762817,17582.284177279795,True,,,,,,,,
gpt-5,100000,7.984493017196655,12524.4019607284,True,,,,,,,,
gpt-5,100000,5.680174112319946,17605.270194641394,True,,,,,,,,
claude-opus-4.1,1,1.7430989742279053,0.5736908889198008,True,,,,,,,,
claude-opus-4.1,1,1.4420559406280518,0.693454374290414,True,,,,,,,,
claude-opus-4.1,1,1.4977259635925293,0.6676788840605687,True,,,,,,,,
claude-opus-4.1,10,1.4848170280456543,6.734836556368295,True,,,,,,,,
claude-opus-4.1,10,1.427799940109253,7.003782336084715,True,,,,,,,,
claude-opus-4.1,10,1.5783488750457764,6.3357348670521105,True,,,,,,,,
claude-opus-4.1,100,1.431301832199097,69.86646544450858,True,,,,,,,,
claude-opus-4.1,100,2.773120880126953,36.060454744916136,True,,,,,,,,
claude-opus-4.1,100,1.3823659420013428,72.33974518731515,True,,,,,,,,
claude-opus-4.1,1000,1.625288963317871,615.2752049448463,True,,,,,,,,
claude-opus-4.1,1000,1.4935507774353027,669.5453647161439,True,,,,,,,,
claude-opus-4.1,1000,1.914463996887207,522.3394128204732,True,,,,,,,,
claude-opus-4.1,10000,1.796144723892212,5568.036844118006,True,,,,,,,,
claude-opus-4.1,10000,2.031480073928833,4922.519363264166,True,,,,,,,,
claude-opus-4.1,10000,1.962862968444824,5094.599144596934,True,,,,,,,,
claude-opus-4.1,100000,13.23197078704834,7557.453202502651,True,,,,,,,,
claude-opus-4.1,100000,7.524626731872559,13289.695763435466,True,,,,,,,,
claude-opus-4.1,100000,10.368387699127195,9644.79752318849,True,,,,,,,,
claude-sonnet-4,1,1.1938049793243408,0.837657755930932,True,,,,,,,,
claude-sonnet-4,1,1.7575361728668213,0.5689783319616352,True,,,,,,,,
claude-sonnet-4,1,1.13043475151062,0.8846154089510094,True,,,,,,,,
claude-sonnet-4,10,1.138038158416748,8.787051581743196,True,,,,,,,,
claude-sonnet-4,10,1.1360092163085938,8.802745485194663,True,,,,,,,,
claude-sonnet-4,10,1.6697218418121338,5.989021494231094,True,,,,,,,,
claude-sonnet-4,100,1.0557351112365725,94.72072959936985,True,,,,,,,,
claude-sonnet-4,100,0.9683504104614258,103.2684025531102,True,,,,,,,,
claude-sonnet-4,100,1.3443219661712646,74.38694190559715,True,,,,,,,,
claude-sonnet-4,1000,1.2589178085327148,794.3330320869105,True,,,,,,,,
claude-sonnet-4,1000,1.2913849353790283,774.3624481003371,True,,,,,,,,
claude-sonnet-4,1000,1.3824219703674316,723.3681332004668,True,,,,,,,,
claude-sonnet-4,10000,1.587416172027588,6299.545246050453,True,,,,,,,,
claude-sonnet-4,10000,1.4593737125396729,6852.25443906175,True,,,,,,,,
claude-sonnet-4,10000,1.6292800903320312,6137.680107514294,True,,,,,,,,
claude-sonnet-4,100000,7.85132908821106,12736.697045364226,True,,,,,,,,
claude-sonnet-4,100000,5.244058132171631,19069.20127115157,True,,,,,,,,
claude-sonnet-4,100000,5.281278133392334,18934.81037624633,True,,,,,,,,
gpt-5,1,0.8543591499328613,1.1704679467394756,True,,,,,,,,
gpt-5,1,0.495805025100708,2.0169218732643537,True,,,,,,,,
gpt-5,1,0.4553840160369873,2.195948836111054,True,,,,,,,,
gpt-5,10,0.5776569843292236,17.311311507142978,True,,,,,,,,
gpt-5,10,0.595203161239624,16.800986035042378,True,,,,,,,,
gpt-5,10,1.4840202331542969,6.738452600976282,True,,,,,,,,
gpt-5,100,0.4141147136688232,241.47898323644745,True,,,,,,,,
gpt-5,100,0.4712202548980713,212.2149864326838,True,,,,,,,,
gpt-5,100,0.4291069507598877,233.04213512019356,True,,,,,,,,
gpt-5,1000,0.4837889671325683,2064.9499427841497,True,,,,,,,,
gpt-5,1000,0.6612269878387451,1512.3399655367243,True,,,,,,,,
gpt-5,1000,0.5149791240692139,1941.8262862740796,True,,,,,,,,
gpt-5,10000,1.5800580978393557,6328.881206124295,True,,,,,,,,
gpt-5,10000,0.9915611743927002,10085.106454601437,True,,,,,,,,
gpt-5,10000,1.1755130290985107,8506.924000382114,True,,,,,,,,
gpt-5,100000,5.687543153762817,17582.284177279795,True,,,,,,,,
gpt-5,100000,7.984493017196655,12524.4019607284,True,,,,,,,,
gpt-5,100000,5.680174112319946,17605.270194641394,True,,,,,,,,
claude-opus-4.1,1,1.7430989742279053,0.5736908889198008,True,,,,,,,,
claude-opus-4.1,1,1.4420559406280518,0.693454374290414,True,,,,,,,,
claude-opus-4.1,1,1.4977259635925293,0.6676788840605687,True,,,,,,,,
claude-opus-4.1,10,1.4848170280456543,6.734836556368295,True,,,,,,,,
claude-opus-4.1,10,1.427799940109253,7.003782336084715,True,,,,,,,,
claude-opus-4.1,10,1.5783488750457764,6.3357348670521105,True,,,,,,,,
claude-opus-4.1,100,1.431301832199097,69.86646544450858,True,,,,,,,,
claude-opus-4.1,100,2.773120880126953,36.060454744916136,True,,,,,,,,
claude-opus-4.1,100,1.3823659420013428,72.33974518731515,True,,,,,,,,
claude-opus-4.1,1000,1.625288963317871,615.2752049448463,True,,,,,,,,
claude-opus-4.1,1000,1.4935507774353027,669.5453647161439,True,,,,,,,,
claude-opus-4.1,1000,1.914463996887207,522.3394128204732,True,,,,,,,,
claude-opus-4.1,10000,1.796144723892212,5568.036844118006,True,,,,,,,,
claude-opus-4.1,10000,2.031480073928833,4922.519363264166,True,,,,,,,,
claude-opus-4.1,10000,1.962862968444824,5094.599144596934,True,,,,,,,,
claude-opus-4.1,100000,13.23197078704834,7557.453202502651,True,,,,,,,,
claude-opus-4.1,100000,7.524626731872559,13289.695763435466,True,,,,,,,,
claude-opus-4.1,100000,10.368387699127195,9644.79752318849,True,,,,,,,,
claude-sonnet-4,1,1.1938049793243408,0.837657755930932,True,,,,,,,,
claude-sonnet-4,1,1.7575361728668213,0.5689783319616352,True,,,,,,,,
claude-sonnet-4,1,1.13043475151062,0.8846154089510094,True,,,,,,,,
claude-sonnet-4,10,1.138038158416748,8.787051581743196,True,,,,,,,,
claude-sonnet-4,10,1.1360092163085938,8.802745485194663,True,,,,,,,,
claude-sonnet-4,10,1.6697218418121338,5.989021494231094,True,,,,,,,,
claude-sonnet-4,100,1.0557351112365725,94.72072959936985,True,,,,,,,,
claude-sonnet-4,100,0.9683504104614258,103.2684025531102,True,,,,,,,,
claude-sonnet-4,100,1.3443219661712646,74.38694190559715,True,,,,,,,,
claude-sonnet-4,1000,1.2589178085327148,794.3330320869105,True,,,,,,,,
claude-sonnet-4,1000,1.2913849353790283,774.3624481003371,True,,,,,,,,
claude-sonnet-4,1000,1.3824219703674316,723.3681332004668,True,,,,,,,,
claude-sonnet-4,10000,1.587416172027588,6299.545246050453,True,,,,,,,,
claude-sonnet-4,10000,1.4593737125396729,6852.25443906175,True,,,,,,,,
claude-sonnet-4,10000,1.6292800903320312,6137.680107514294,True,,,,,,,,
claude-sonnet-4,100000,7.85132908821106,12736.697045364226,True,,,,,,,,
claude-sonnet-4,100000,5.244058132171631,19069.20127115157,True,,,,,,,,
claude-sonnet-4,100000,5.281278133392334,18934.81037624633,True,,,,,,,,
